ide,Name
359,Santa Fe College
360,Savannah State University
361,Seattle Central College
362,Seminole State College of Florida
363,Shawnee State University
364,Shepherd University
365,Shippensburg University of Pennsylvania
366,Sitting Bull College
367,Slippery Rock University of Pennsylvania
368,Snow College
369,Sonoma State University
370,South Carolina State University
371,South Dakota School of Mines and Technology
372,South Dakota State University
373,South Florida State College
374,South Georgia State College
375,South Seattle College
376,South Texas College
377,Southeast Missouri State University
378,Southeastern Louisiana University
379,Southeastern Oklahoma State University
380,Southern Arkansas University Main Campus
381,Southern Connecticut State University
382,Southern Illinois University-Carbondale
383,Southern Illinois University-Edwardsville
384,Southern Oregon University
385,Southern Polytechnic State University
386,Southern University and A & M College
387,Southern University at New Orleans
388,Southern Utah University
389,Southwest Minnesota State University
390,Southwestern Oklahoma State University
391,St Mary's College of Maryland
392,St Petersburg College
393,State College of Florida-Manatee-Sarasota
394,State University of New York at New Paltz
395,Stephen F Austin State University
396,Stockton University
397,Stony Brook University
398,Sul Ross State University
399,SUNY at Albany
400,SUNY at Binghamton
401,SUNY at Fredonia
402,SUNY at Purchase College
403,SUNY Buffalo State
404,SUNY College at Brockport
405,SUNY College at Cortland
406,SUNY College at Geneseo
407,SUNY College at Old Westbury
408,SUNY College at Oswego
409,SUNY College at Plattsburgh
410,SUNY College at Potsdam
411,SUNY College of Agriculture and Technology at Cobleskill
412,SUNY College of Environmental Science and Forestry
413,SUNY College of Technology at Alfred
414,SUNY College of Technology at Canton
415,SUNY College of Technology at Delhi
416,SUNY Downstate Medical Center
417,SUNY Empire State College
418,SUNY Maritime College
419,SUNY Oneonta
420,SUNY Polytechnic Institute
421,Tarleton State University
422,Temple University
423,Tennessee State University
424,Tennessee Technological University
425,Texas A & M International University
426,Texas A & M University-Central Texas
427,Texas A & M University-College Station
428,Texas A & M University-Commerce
429,Texas A & M University-Corpus Christi
430,Texas A & M University-Kingsville
431,Texas A & M University-Texarkana
432,Texas Southern University
433,Texas State University
434,Texas Tech University
435,Texas Tech University Health Sciences Center
436,Texas Woman's University
437,The California Maritime Academy
438,The College of New Jersey
439,The Evergreen State College
440,The Lincoln University
441,The University of Alabama
442,The University of Montana
443,The University of Montana-Western
444,The University of Tennessee-Chattanooga
445,The University of Tennessee-Knoxville
446,The University of Tennessee-Martin
447,The University of Texas at Arlington
448,The University of Texas at Austin
449,The University of Texas at Brownsville
450,The University of Texas at Dallas
451,The University of Texas at El Paso
452,The University of Texas at San Antonio
453,The University of Texas at Tyler
454,The University of Texas Health Science Center at Houston
455,The University of Texas Health Science Center at San Antonio
456,The University of Texas MD Anderson Cancer Center
457,The University of Texas Medical Branch
458,The University of Texas of the Permian Basin
459,The University of Texas Rio Grande Valley
460,The University of Virginia's College at Wise
461,The University of West Florida
462,Thomas Edison State College
463,Towson University
464,Troy University
465,Truman State University
466,United States Air Force Academy
467,United States Coast Guard Academy
468,United States Merchant Marine Academy
469,United States Military Academy
470,United States Naval Academy
471,University of Colorado Boulder
472,University at Buffalo
473,University of Akron Main Campus
474,University of Alabama at Birmingham
475,University of Alabama in Huntsville
476,University of Alaska Anchorage
477,University of Alaska Fairbanks
478,University of Alaska Southeast
479,University of Arizona
480,University of Arkansas
481,University of Arkansas at Little Rock
482,University of Arkansas at Monticello
483,University of Arkansas at Pine Bluff
484,University of Arkansas for Medical Sciences
485,University of Arkansas-Fort Smith
486,University of Baltimore
487,University of California-Berkeley
488,University of California-Davis
489,University of California-Irvine
490,University of California-Los Angeles
491,University of California-Merced
492,University of California-Riverside
493,University of California-San Diego
494,University of California-Santa Barbara
495,University of California-Santa Cruz
496,University of Central Arkansas
497,University of Central Florida
498,University of Central Missouri
499,University of Central Oklahoma
500,University of Cincinnati-Blue Ash College
501,University of Cincinnati-Clermont College
